P_el_Halle;P_el_Schule;P_el_KiGa;W_Halle;W_Schule;W_KiGa;G_Halle;G_Schule;Gas_KiGa
1,1;5,4;3,97;3,8;7;6;9,4;7,6;6,4
1,4;6,5;1,67;36,5;20;0;44,0;25,9;0,0
6,4;5,3;0,93;36,3;10;0;44,0;10,3;0,0
0,8;4,8;0,46;14,9;7;0;20,4;6,9;0,0
1,5;3,4;0,42;7,9;7;0;11,0;6,9;0,0
0,7;1,7;0,86;3;9;0;3,3;13,1;0,0
0,3;1,8;0,46;0;3;8;0,0;3,2;8,5
0,3;1,8;0,46;0;2;1;0,0;2,5;1,1
0,3;1,8;0,56;1,3;3;6;1,5;2,6;6,4
0,4;2;0,45;5,2;5;7;8,4;5,5;7,4
1;2,1;0,43;2,3;15;0;2,6;21,5;0,0
2,8;2,1;0,35;29,7;18;18;36,9;24,9;19,1
14,1;3,2;1,28;36;12;16;43,4;18,9;17,0
9,6;7,7;0,54;38;20;11;45,8;27,1;11,7
7,9;20,1;0,54;36,5;35;9;44,1;42,5;9,6
13,7;22,7;1,75;36,6;41;19;44,2;48,8;20,2
12,9;26,6;6,12;36,6;40;13;44,1;47,9;13,8
13,2;22,4;6,36;36,6;35;10;44,2;43,1;10,6
12,9;23,6;5,04;21,4;38;10;28,5;45,4;10,6
13,5;17,4;3,43;36,6;32;8;44,2;39,3;8,5
13,8;14,2;4,06;36,1;31;5;43,6;38,6;5,3
13,9;13,8;4,98;35,6;25;3;43,2;32,1;3,2
3,2;9,3;2,84;27,3;17;9;32,7;24,2;9,6
6,7;7,7;2,65;20,2;11;2;24,4;11,3;2,1
13,3;3,8;3,34;12,6;5;0;17,7;5,4;0,0
6,6;4;1,84;26,5;5;0;32,0;5,7;0,0
0,6;3,8;0,69;13,6;5;0;18,8;5,3;0,0
0,7;4,8;0,39;5,3;6;0;5,9;6,7;0,0
1,4;4;0,39;3,8;5;0;6,6;5,7;0,0
0,5;2,1;0,44;2;3;9;2,2;2,9;9,6
0,3;1,9;1,18;1;3;2;1,1;2,6;2,1
0,3;2;0,5;0;3;1;0,0;2,9;1,1
0,3;1,9;0,48;0,7;6;9;0,8;6,9;9,6
0,4;1,9;0,67;16,9;15;3;20,6;22,7;3,2
5,5;2,1;0,59;0,6;18;3;0,7;24,9;3,2
10,6;2,1;0,82;30,8;13;17;38,0;19,6;18,1
10,9;2,1;0,46;36,6;16;17;44,2;23,6;18,1
12,5;4,6;0,47;36,6;20;10;44,1;27,1;10,6
13,4;16,7;0,43;36,6;29;10;44,2;36,4;10,6
9,3;19,4;1,51;22,6;35;13;29,7;43,2;13,8
1,3;19,4;5,22;36,6;37;14;44,2;45,1;14,9
1,3;16;4,27;35,6;28;9;43,1;35,5;9,6
1,5;18,7;3,59;36,5;35;8;44,1;42,4;8,5
1,4;18;3,34;36,9;35;1;44,6;43,3;1,1
6;12,7;2,99;36,1;24;8;43,7;30,9;8,5
2,4;14,5;4,47;13,5;27;3;19,2;34,9;3,2
0,6;6,3;2,4;24,5;22;0;29,4;29,9;0,0
6,2;3,4;3,96;32,2;8;0;39,4;8,2;0,0
13,6;3,2;2,97;23,3;5;7;27,7;4,7;7,4
13,5;3;1,41;7,1;4;0;13,1;4,5;0,0
13,6;2,9;0,48;13,3;19;0;19,2;25,1;0,0
13,5;4;0,45;25,3;6;0;30,4;10,1;0,0
2,7;4,5;0,83;7,8;7;0;10,9;6,9;0,0
0,5;3;0,43;3;4;0;3,3;4,2;0,0
0,4;2,7;0,47;0;4;0;0,0;3,8;0,0
0,3;2,6;0,46;0;4;0;0,0;3,7;0,0
0,3;2,7;0,39;0,5;4;5;0,7;3,9;5,3
0,4;2,5;0,61;17,1;5;3;20,6;5,6;3,2
0,9;2,1;0,63;1,5;20;0;1,8;26,8;0,0
5,2;2,1;0,26;29,6;12;14;36,6;19,2;14,9
13,4;3;0,91;36,3;17;15;43,9;23,9;16,0
10,7;5,5;0,49;36,2;21;10;43,9;28,0;10,6
13,7;16,9;0,45;21,9;29;8;29,0;36,5;8,5
11,5;15,7;2,23;36,3;36;8;44,0;44,6;8,5
10,3;12,5;3,32;36,1;23;9;43,7;30,5;9,6
5,8;12,7;3,9;36,2;28;5;43,9;35,4;5,3
1,2;16,3;3,77;36,1;28;0;43,7;34,5;0,0
1,2;15,3;3,01;35,1;31;6;42,7;36,5;6,4
6,1;9,7;5;21,8;20;2;26,1;27,6;2,1
5,3;8,7;6,88;6,5;19;0;7,1;22,9;0,0
0,3;6,6;3,35;2,5;19;0;3,1;22,2;0,0
0,5;3,4;2,45;30,6;21;0;37,8;28,5;0,0
0,5;5,4;2,62;18,5;11;0;23,3;11,7;0,0
0,6;5,7;1,21;24,1;10;5;29,3;11,6;5,3
3,8;5;1,16;32,4;7;2;39,5;7,3;2,1
3,7;3,4;0,41;24;5;0;29,0;5,0;0,0
2;3,4;0,42;9,8;5;0;13,2;4,8;0,0
0,6;2;0,44;2;3;0;2,2;2,8;0,0
0,4;2,1;0,43;1;3;0;1,1;2,9;0,0
0,3;2,1;0,41;0;3;1;0,0;2,9;1,1
0,3;2,1;0,49;0;3;0;0,0;2,9;0,0
0,4;2,4;0,42;0;3;1;0,0;3,4;1,1
0,4;3,2;0,45;0,7;4;0;0,8;4,4;0,0
0,6;3;0,44;29,8;4;1;36,9;4,3;1,1
0,7;3,3;0,46;21,6;4;2;28,8;4,6;2,1
0,6;1,9;0,66;36,6;3;2;44,2;2,7;2,1
0,6;2;0,7;36,5;3;2;44,1;2,9;2,1
0,5;2,1;0,49;35,5;3;1;42,9;2,9;1,1
0,7;2;0,44;25,7;3;0;30,4;2,8;0,0
0,6;2,8;0,41;3,1;4;0;6,1;4,0;0,0
0,5;3;0,45;19,7;4;1;23,8;4,2;1,1
0,6;2,7;0,44;16,7;4;0;20,3;3,8;0,0
0,6;2,7;0,46;11,5;4;1;13,5;3,9;1,1
0,3;3,1;0,41;7,3;4;0;11,8;4,3;0,0
0,6;1,8;0,46;35,5;2;1;43,0;2,5;1,1
0,6;1,8;0,45;22,7;2;0;27,4;2,5;0,0
0,6;1,8;0,42;13,7;2;0;18,6;2,5;0,0
0,6;1,9;0,45;25,9;3;0;31,5;2,6;0,0
0,6;1,8;0,55;21,6;2;5;25,8;2,5;5,3
0,6;2;0,64;8;3;3;9,1;2,7;3,2
0,5;2,1;0,43;1;3;0;1,1;2,9;0,0
0,4;2;0,42;0;3;0;0,0;2,8;0,0
0,4;1,7;0,44;0;9;0;0,0;11,2;0,0
0,3;1,8;0,52;0;21;0;0,0;29,1;0,0
0,4;1,8;0,32;0;22;0;0,0;30,0;0,0
0,4;1,9;0,43;0;13;0;0,0;19,4;0,0
0,5;2,1;0,43;0;21;0;0,0;28,6;0,0
0,5;2,1;0,44;0;17;0;0,0;24,0;0,0
0,4;2,1;0,4;0;17;0;0,0;24,3;0,0
0,3;2,1;0,43;0;22;0;0,0;30,0;0,0
0,3;1,9;0,45;0;10;1;0,0;17,0;1,1
0,3;1,8;0,43;0;5;1;0,0;6,2;1,1
0,3;1,7;0,81;0;2;0;0,0;2,5;0,0
0,3;2,3;0,45;0;3;1;0,0;3,2;1,1
0,3;2,6;0,43;0;4;0;0,0;3,7;0,0
0,3;2,7;0,46;0;4;1;0,0;3,8;1,1
0,3;2,9;0,43;0;4;0;0,0;4,1;0,0
0,3;1,8;0,44;0;3;0;0,0;2,6;0,0
0,3;1,8;0,44;0;2;0;0,0;2,5;0,0
0,3;1,8;0,4;0;3;5;0,0;2,6;5,3
0,3;2,7;1,03;0;4;2;0,0;3,8;2,1
0,2;2,7;0,59;0;4;0;0,0;3,8;0,0
0,3;2,8;0,41;0;4;0;0,0;3,9;0,0
0,3;3,3;0,46;0;5;0;0,0;4,7;0,0
0,5;2,1;0,39;0;18;0;0,0;23,4;0,0
0,3;2,1;0,54;0;22;0;0,0;29,7;0,0
0,3;2,1;0,63;0;22;0;0,0;30,0;0,0
0,3;2,1;0,49;0;22;0;0,0;30,0;0,0
0,3;2,1;0,52;0,5;22;0;0,6;30,0;0,0
0,6;2,1;0,38;14,8;22;0;21,4;30,0;0,0
1,5;2,1;0,42;35,9;22;8;43,4;30,0;8,5
6,4;2,1;0,86;37;22;13;44,7;30,1;13,8
14,9;2,1;0,63;45,9;12;5;53,8;18,6;5,3
10,7;4,4;1,15;35,9;23;3;43,5;31,1;3,2
10,1;14,2;0,42;35,8;30;9;43,3;37,5;9,6
10;16,7;2,22;36;33;10;43,6;41,0;10,6
2,1;18,9;5,55;37;35;12;44,7;43,2;12,8
2,1;14,9;5,95;36;31;9;43,7;38,9;9,6
12,4;15,1;8,77;34,7;31;8;42,2;38,5;8,5
9,4;13,9;6,18;35,8;30;8;43,3;37,7;8,5
0,6;9,2;4,53;12,6;24;9;16,0;31,2;9,6
0,4;11,2;7,27;0;23;9;0,0;29,8;9,6
0,6;6,9;6,38;1;10;9;1,1;10,5;9,6
