P_el_Halle;P_el_Schule;W_Halle;W_Schule
15,9;12,2;67,9;26
14,9;32,9;45,2;52
11,1;30,1;33,9;50
15,6;33,8;45,3;57
19,3;26,0;45,3;42
19,7;28,9;22,7;46
10,4;19,7;21,6;36
9,0;14,4;22,7;31
19,8;16,8;22,7;37
1,1;11,6;22,6;25
8,1;11,6;33,9;25
19,7;12,8;56,8;28
17,7;10,2;44,4;26
16,8;9,7;55,7;28
20,1;9,0;33,0;22
16,6;7,4;22,7;20
1,9;3,2;78,5;19
0,9;3,2;21,7;21
0,9;3,2;15,9;15
0,9;3,2;10,8;17
0,8;3,3;16,2;18
1,2;3,4;22,2;21
9,2;3,3;22,6;16
15,9;4,3;21,6;21
7,6;12,4;68,2;31
1,4;31,0;56,8;48
1,2;28,0;45,4;45
17,8;28,8;56,7;47
12,5;25,3;37,2;44
14,5;33,4;30,7;56
11,9;25,6;22,6;42
13,3;16,2;22,7;31
18,1;18,0;22,7;34
10,1;9,8;22,8;25
14,5;9,3;44,5;28
14,7;8,8;44,5;22
14,9;10,2;21,8;25
14,9;9,7;34,0;31
15,0;9,2;33,0;23
8,9;7,3;33,2;24
1,8;3,1;33,2;21
0,9;3,1;21,8;16
0,9;3,3;23,2;19
0,8;3,1;18,3;21
0,9;3,2;25,1;16
8,2;3,4;21,3;20
15,5;3,3;22,7;21
15,7;4,4;22,6;18
11,6;11,4;78,4;29
17,5;28,2;45,3;50
16,8;24,6;56,8;41
14,3;26,2;22,7;52
13,8;23,6;45,4;39
13,3;30,6;22,8;49
9,3;20,7;21,8;44
11,9;12,0;22,7;26
11,4;10,4;22,8;25
1,0;8,0;34,2;29
1,1;7,5;45,6;20
4,5;8,2;45,5;23
9,3;8,6;44,5;30
10,4;8,1;34,2;21
6,3;6,4;33,2;21
1,7;5,3;79,8;21
1,7;3,2;21,9;21
0,9;3,3;21,9;16
0,9;3,1;32,4;19
0,9;3,3;18,7;21
0,8;3,2;21,4;16
1,0;3,2;23,4;19
1,0;3,3;22,2;21
1,0;4,2;21,7;17
1,1;5,3;22,7;19
1,1;5,6;45,4;20
1,0;4,0;34,0;19
12,1;3,2;78,7;21
14,3;3,2;56,9;16
14,1;3,3;44,5;16
13,9;3,4;34,2;18
14,1;3,6;21,7;21
14,4;3,3;44,5;16
2,8;3,3;44,5;19
1,3;4,7;34,2;23
1,4;5,1;21,8;19
1,4;5,1;21,6;22
1,4;5,1;22,8;23
1,3;4,9;21,7;18
1,4;5,1;21,7;19
0,6;3,4;15,3;18
0,5;3,2;1,0;21
0,5;3,3;0,0;15
0,5;3,3;1,1;16
0,6;3,3;0,0;19
0,7;3,2;0,0;21
0,7;3,3;0,0;16
0,7;4,1;0,0;17
0,7;5,3;0,0;19
0,6;5,0;0,0;26
0,5;3,6;0,0;16
0,5;3,3;0,0;16
0,9;3,3;0,0;17
12,5;3,3;0,0;24
13,7;3,3;0,0;16
10,4;3,3;0,0;16
0,5;2,7;0,0;16
0,5;3,8;0,0;19
0,7;4,3;0,0;22
0,6;4,3;0,0;17
0,7;4,4;0,0;17
0,7;4,2;0,0;21
0,6;4,2;0,0;22
0,6;4,2;0,0;14
0,5;3,1;0,0;10
0,5;3,4;0,0;19
0,7;3,4;7,2;22
0,5;3,4;10,9;16
0,6;3,4;11,6;16
1,4;3,4;56,3;20
8,9;3,5;68,2;16
13,9;4,4;45,4;22
10,1;12,0;102,2;26
1,8;31,6;22,7;50
1,4;27,7;45,4;45
13,1;29,1;45,5;49
14,3;22,9;34,9;44
7,0;31,0;34,2;48
1,1;24,3;45,4;42
7,9;18,7;45,4;36
13,6;20,0;34,0;41
13,5;14,1;22,6;28
14,9;13,5;33,0;28
15,1;12,8;67,1;28
15,4;12,8;33,2;29
15,1;11,8;34,0;31
15,2;9,0;21,7;22
2,8;6,8;33,0;20
1,7;3,2;21,8;17
0,8;3,2;21,8;18
0,8;3,3;20,8;21
0,9;3,2;14,6;15
0,9;3,4;24,7;16
1,5;3,4;21,3;17
13,2;3,3;21,7;18
4,7;4,5;22,4;23
4,7;11,5;56,9;25
11,6;31,7;45,4;50
8,7;26,9;45,5;47
12,7;25,7;45,4;47
8,1;24,2;34,0;40
13,4;30,2;22,7;47
14,3;24,0;22,6;41
