P_el_Halle;P_el_Schule;W_Halle;W_Schule
10,6;4,3;11,4;17
4,9;11,5;126,1;27
11,1;31,0;76,7;57
8,4;26,7;33,8;43
12,4;27,0;37,1;45
9,0;23,1;37,2;47
13,5;29,4;45,2;46
8,7;22,5;21,9;40
11,2;17,3;21,9;40
13,8;19,5;36,2;34
14,5;14,0;36,2;30
14,6;8,5;36,2;29
15,0;9,1;21,8;22
15,4;9,6;22,9;24
15,3;9,0;21,9;30
15,4;7,2;36,2;20
6,0;6,3;21,9;21
1,2;3,2;36,2;24
0,8;3,2;33,2;15
0,9;3,2;19,5;17
0,8;3,2;18,4;23
0,9;3,3;17,1;15
8,4;3,4;36,2;20
12,2;3,2;37,3;21
2,3;4,5;37,2;19
3,0;9,0;90,9;30
11,2;27,0;18,8;44
9,3;24,1;19,0;44
13,0;23,9;32,7;45
14,0;21,1;37,3;38
13,6;20,0;37,1;43
13,8;17,2;36,1;32
13,8;13,8;37,1;37
13,6;14,9;37,1;29
13,0;10,0;37,1;33
9,6;7,7;37,2;20
5,8;8,9;23,0;26
1,0;10,2;36,2;29
1,0;8,2;37,1;23
1,0;8,4;37,1;29
1,8;6,3;36,2;20
1,1;3,2;22,0;20
0,8;3,0;36,0;20
0,9;3,1;35,9;16
0,9;3,2;10,5;19
0,8;3,3;24,6;21
1,0;3,3;36,9;16
1,1;3,3;22,8;25
11,6;4,2;34,0;17
9,1;12,2;125,2;30
7,0;29,7;22,9;52
10,2;25,8;45,5;44
19,3;22,7;34,3;46
19,8;18,7;37,2;34
19,9;18,7;37,2;43
19,6;14,4;37,1;28
15,5;13,7;56,0;29
14,5;13,9;36,1;36
2,2;8,5;36,3;21
6,1;7,8;36,1;22
14,4;9,0;37,2;30
14,5;10,3;21,8;23
15,0;8,9;37,3;23
14,9;8,3;36,5;23
12,8;6,3;36,3;25
1,6;3,2;55,9;15
0,9;3,2;36,2;16
0,8;3,0;31,1;19
0,8;3,1;11,5;20
0,9;3,3;22,7;22
1,1;3,4;36,2;20
1,0;3,3;37,3;17
12,8;4,3;37,5;25
10,3;10,8;113,8;24
14,1;27,8;22,8;46
13,9;21,1;34,0;44
14,1;19,1;37,2;27
14,0;16,6;37,3;38
12,7;17,1;37,2;32
10,5;13,4;37,3;31
6,8;10,1;36,2;29
1,3;14,8;37,2;33
1,2;18,0;36,2;38
9,9;22,4;37,2;37
14,1;30,3;21,9;40
14,6;33,8;37,3;51
10,2;25,9;36,3;46
1,1;13,1;37,3;32
2,0;7,3;36,3;21
1,1;3,1;21,8;25
1,0;3,0;36,2;15
0,9;3,1;36,2;17
0,8;3,2;23,7;23
0,9;3,2;23,0;15
1,1;3,3;36,2;17
1,0;3,4;37,3;18
13,2;4,3;21,5;22
10,5;11,2;115,0;24
12,3;28,3;34,2;45
13,4;22,6;22,4;42
14,1;20,1;22,8;40
8,4;16,4;37,2;31
1,9;19,5;37,3;38
1,7;14,7;22,9;34
1,9;9,8;38,3;23
1,4;9,1;37,1;26
11,9;6,8;67,3;25
10,8;3,8;34,4;14
1,0;5,3;33,3;18
1,0;7,5;38,3;24
7,9;6,4;67,3;25
13,8;5,1;44,6;19
4,0;4,9;21,9;21
1,0;3,2;36,2;21
0,9;3,1;34,2;16
0,9;3,1;17,7;19
0,8;3,1;6,1;21
0,8;3,0;18,9;16
1,1;3,1;16,5;19
1,0;3,1;34,8;21
1,0;3,9;22,6;17
1,2;5,1;34,0;22
1,0;3,9;45,4;22
1,0;3,4;35,0;16
2,9;2,9;34,2;19
2,5;2,4;22,8;20
1,8;2,2;37,2;9
1,9;2,1;23,8;3
1,7;2,4;37,3;3
1,6;2,5;37,2;3
1,8;2,4;38,2;3
3,3;2,3;37,0;3
7,6;3,2;22,7;4
8,6;4,2;34,0;17
5,8;4,9;23,8;19
7,0;4,7;33,6;26
5,7;4,7;3,9;17
5,8;4,8;0,0;19
6,2;4,7;0,0;26
7,3;4,8;15,7;18
8,1;4,7;44,2;19
8,1;4,7;90,0;26
9,8;4,8;91,0;18
8,4;4,8;44,6;18
8,2;4,8;44,4;19
8,7;4,8;45,5;20
7,9;3,4;33,0;21
5,9;3,1;89,9;15
4,1;2,8;7,8;15
2,6;2,3;0,0;15
1,9;2,2;0,0;10
2,4;2,2;0,0;3
0,3;2,1;0,0;3
6,6;2,6;0,0;4
13,3;2,5;0,0;3
13,1;2,4;0,0;3
10,6;3,0;0,0;4
6,2;4,2;1,0;13
0,9;4,1;0,0;18
0,9;4,8;0,0;26
0,6;4,8;0,0;18
0,4;3,2;0,0;17
0,4;3,3;0,0;24
0,3;3,3;0,0;16
0,8;3,2;10,3;17
0,8;3,2;36,7;23
1,1;3,3;37,2;16
1,0;3,3;37,3;16
1,4;4,2;37,2;18
15,5;11,1;90,2;32
13,9;26,7;37,2;43
14,9;22,0;36,3;38
14,3;17,7;46,8;42
10,2;17,1;33,1;32
12,2;24,4;37,3;42
13,2;18,2;35,1;35
13,7;16,2;32,0;36
13,6;18,3;23,8;33
13,7;11,8;12,3;26
13,9;9,0;24,1;20
14,1;11,0;36,3;13
14,5;12,1;37,3;31
14,6;9,7;36,3;23
14,9;7,5;36,3;21
3,1;6,4;21,7;21
0,8;3,6;29,0;18
0,5;3,4;4,1;21
0,7;3,2;4,3;15
0,9;3,3;33,8;16
0,9;3,4;10,4;17
2,6;3,5;36,9;19
15,1;3,4;36,8;22
14,9;4,3;22,4;17
4,8;9,6;21,7;23
12,0;26,2;37,5;43
8,4;23,3;36,5;41
14,3;23,9;37,0;45
13,8;20,9;36,8;36
14,5;26,0;36,5;43
13,9;22,5;16,2;39
13,7;20,4;39,1;38
14,0;22,0;13,9;43
3,9;12,6;13,4;27
4,2;9,3;13,0;23
6,4;11,4;13,4;34
0,8;12,3;12,9;26
0,8;10,5;13,1;24
1,1;10,9;13,1;25
1,9;7,6;16,0;23
0,9;3,4;12,2;21
0,5;3,0;2,8;15
0,9;3,1;24,0;16
0,9;3,0;25,2;17
0,9;3,3;20,3;24
1,0;3,4;26,0;16
12,5;3,2;25,2;17
9,3;4,2;27,3;25
12,1;11,2;25,2;25
8,8;28,1;26,1;46
8,8;25,0;26,1;49
1,8;19,4;34,0;34
2,0;19,4;22,7;36
2,1;21,1;22,7;45
2,2;17,1;21,8;32
2,0;12,1;21,8;27
1,9;14,1;22,8;36
0,8;8,4;21,8;21
6,4;6,0;21,8;19
13,8;8,3;21,8;10
12,6;9,0;21,8;22
11,3;8,9;21,7;24
1,5;8,6;33,2;30
1,9;7,0;21,7;20
0,8;3,3;5,7;17
0,5;3,1;0,8;24
0,6;3,1;8,2;16
0,8;3,1;19,7;16
0,9;3,2;8,5;25
4,9;3,4;22,2;16
14,9;3,3;22,8;20
6,4;4,3;21,7;22
6,0;11,2;56,8;25
14,5;26,6;67,2;47
13,7;21,6;24,5;42
14,0;20,7;36,2;36
13,4;18,5;36,2;35
13,7;20,1;36,2;38
13,4;16,0;7,5;36
3,0;13,2;12,3;27
2,0;15,0;14,0;31
0,5;9,0;12,4;30
5,6;6,7;25,5;19
12,8;6,4;36,5;22
13,5;8,3;36,3;29
14,0;8,2;36,3;21
14,1;7,3;36,3;20
5,4;6,2;35,5;23
0,6;2,6;12,7;20
0,3;2,5;0,0;15
0,3;2,4;0,0;15
0,3;2,5;0,0;19
0,5;3,0;5,2;20
4,6;3,1;37,6;10
14,7;3,2;36,5;24
11,8;4,2;37,3;17
12,4;11,1;21,9;26
13,2;28,2;37,3;47
14,9;26,9;36,2;49
14,4;27,7;37,2;44
8,8;23,9;36,2;40
1,0;20,9;21,8;40
0,9;17,6;36,2;38
0,9;13,2;36,2;27
0,9;16,0;40,3;31
9,0;19,5;30,3;38
12,4;22,5;36,2;43
0,8;27,2;36,2;42
0,8;20,1;36,3;36
4,5;8,6;37,2;26
3,5;6,4;36,2;20
1,7;5,8;21,9;21
0,7;3,7;17,6;18
0,5;3,2;1,0;21
0,7;3,2;4,3;15
0,9;3,2;36,1;16
0,8;3,1;35,5;25
1,0;3,1;20,9;15
1,0;3,1;14,3;17
1,1;3,9;36,9;24
1,1;5,0;22,7;18
0,9;4,1;34,0;18
0,9;3,5;22,7;24
0,9;3,1;37,2;15
0,8;2,8;37,3;17
0,6;2,4;37,2;22
0,6;2,4;37,2;12
0,6;2,4;36,7;5
0,6;2,6;35,9;17
0,6;2,4;36,2;11
0,6;2,4;37,6;5
0,6;2,9;22,4;4
0,8;4,3;36,2;19
0,8;4,5;37,3;18
1,0;4,9;36,2;27
1,0;4,5;36,2;17
0,7;3,3;21,8;17
0,8;3,2;13,3;23
0,9;3,2;18,6;16
0,9;3,1;20,2;25
0,9;3,3;6,7;16
1,0;3,2;23,3;21
1,0;3,2;36,9;16
1,1;4,0;37,3;20
1,2;4,7;68,2;23
1,0;3,4;56,9;17
0,9;3,1;34,2;23
0,9;3,1;22,8;15
0,7;2,9;31,3;19
4,2;2,7;4,0;20
13,7;2,3;50,2;15
13,5;2,3;33,1;14
13,6;2,4;6,8;4
14,9;2,4;21,6;3
14,1;2,5;26,4;3
15,2;2,7;9,8;4
14,4;4,4;8,3;18
10,9;5,1;20,8;18
0,8;4,8;16,5;19
0,8;4,3;25,1;19
0,9;3,4;21,5;21
0,9;3,3;18,5;15
0,9;3,4;16,7;16
0,8;3,3;23,1;17
1,0;3,2;26,6;18
7,5;3,4;37,6;17
14,3;3,4;37,7;16
15,9;4,2;37,8;18
13,9;11,1;123,9;33
10,7;21,6;38,5;37
9,7;19,1;36,3;35
2,4;17,4;55,9;40
1,7;15,9;36,2;30
11,9;18,9;36,3;35
5,7;14,1;21,6;31
1,6;11,5;36,2;30
1,9;11,2;7,6;25
1,6;8,4;15,8;22
3,7;5,6;8,5;24
9,9;6,5;29,4;11
11,8;9,2;36,7;11
14,4;8,8;22,4;19
14,5;7,3;36,7;21
8,5;5,7;22,4;22
0,8;3,1;8,4;21
0,5;3,1;1,0;15
0,6;3,2;5,1;16
0,9;3,2;36,9;17
1,0;3,2;36,6;18
2,3;3,2;37,5;21
14,2;3,2;36,7;15
5,6;4,2;37,7;17
4,5;9,3;90,7;23
11,6;23,9;37,6;42
7,3;20,9;22,3;42
12,6;17,0;37,6;32
10,2;15,6;36,7;31
1,7;15,4;37,6;32
12,8;13,5;36,6;33
13,6;12,8;36,6;26
13,3;13,6;36,8;28
2,5;8,8;35,1;23
2,2;7,7;2,6;26
4,0;8,6;11,1;13
0,8;9,5;36,5;11
0,8;9,3;35,2;19
0,7;8,3;18,9;22
1,5;6,5;9,0;22
0,7;3,2;17,2;21
0,5;3,3;0,0;15
0,7;3,1;5,6;15
0,8;3,2;35,1;19
0,9;3,4;37,0;21
5,2;3,3;36,1;16
12,2;3,4;36,2;17
15,8;4,4;37,2;25
6,2;9,3;56,9;22
1,2;25,3;37,3;42
1,1;22,7;37,5;42
10,4;22,5;37,2;43
13,9;19,2;36,3;34
13,4;18,6;36,2;33
13,5;15,9;37,2;34
13,7;14,4;36,3;34
13,6;14,5;35,3;28
1,4;7,6;20,0;20
6,1;5,9;9,8;18
13,4;6,6;10,1;9
13,7;8,4;36,5;10
6,9;9,1;36,3;12
0,7;8,0;31,1;28
1,3;6,1;5,0;20
0,6;2,3;3,9;18
0,3;2,4;0,0;20
0,3;2,3;0,0;15
0,3;2,3;0,0;18
0,6;2,5;5,5;20
0,7;2,5;36,6;15
1,0;3,0;37,2;19
0,9;4,2;21,7;22
2,4;5,2;34,0;19
0,8;4,7;36,3;21
0,6;3,4;36,5;21
0,6;3,2;36,5;16
0,6;2,8;36,3;19
0,5;3,4;36,2;21
0,4;2,2;6,0;15
0,3;2,6;0,0;14
0,3;3,4;0,0;5
0,3;3,0;1,0;4
7,5;2,2;25,1;15
13,6;2,4;36,5;6
13,9;4,0;36,3;6
14,1;3,8;35,1;5
14,2;4,1;36,2;6
3,4;3,6;37,3;5
0,6;2,1;16,0;3
0,3;2,2;0,0;3
0,3;2,2;0,0;3
0,3;2,2;0,0;3
0,5;2,2;5,7;3
0,8;2,1;36,7;3
0,8;2,2;36,6;6
0,7;3,2;36,2;21
2,4;4,9;22,8;19
0,5;3,1;37,5;23
0,6;3,9;36,3;16
0,6;4,3;36,6;13
0,5;3,9;37,5;7
0,6;4,0;36,5;23
0,6;3,6;36,5;16
0,6;2,4;36,5;17
0,5;2,2;36,5;4
11,5;2,3;36,1;3
10,0;2,2;36,3;3
0,7;3,1;19,3;4
0,8;3,9;36,3;5
0,7;4,1;36,0;15
0,7;4,1;32,8;17
1,3;3,5;6,6;17
0,6;2,3;4,0;17
0,3;2,3;0,0;19
0,3;2,2;0,0;14
0,3;2,3;0,0;16
0,3;2,2;0,0;22
0,6;2,4;5,1;14
0,7;2,2;38,4;16
0,9;3,0;22,4;24
0,9;4,1;37,1;17
0,8;2,8;22,6;17
0,8;2,2;22,7;22
0,7;2,3;38,6;12
0,5;2,2;37,9;5
0,6;2,1;37,5;3
0,6;2,2;37,5;3
0,5;2,0;36,5;3
0,5;2,2;36,5;3
0,5;2,1;37,1;3
0,5;2,2;36,5;3
0,7;2,8;36,6;4
0,8;4,0;21,2;5
0,7;3,9;36,5;5
0,7;3,9;32,0;5
0,4;3,6;4,5;5
0,3;2,2;0,0;3
0,3;2,2;0,0;3
0,3;2,2;0,0;3
0,4;2,2;0,0;3
0,4;2,2;0,0;3
0,4;2,1;0,0;3
0,5;2,3;0,0;3
0,6;3,0;0,0;4
0,6;3,5;0,0;5
0,4;2,1;0,0;3
0,4;2,3;0,0;3
0,3;2,3;0,0;3
0,4;2,2;0,0;3
0,3;2,1;0,0;3
0,3;2,1;0,0;3
0,3;2,3;0,0;3
0,4;2,3;0,0;3
0,3;2,1;0,0;3
0,3;2,3;0,0;3
0,4;2,8;0,0;4
0,5;4,0;0,0;5
0,5;4,0;0,0;5
0,5;3,9;0,0;5
0,5;3,7;0,0;5
0,4;2,2;0,0;3
0,4;2,2;0,0;3
0,5;2,3;4,0;3
0,3;2,2;0,5;3
0,5;2,3;6,9;3
0,8;2,3;37,7;3
0,7;2,2;36,6;6
0,8;3,3;37,5;13
2,5;4,6;56,6;7
0,8;3,9;38,6;5
0,7;3,6;22,4;9
0,7;4,1;22,4;20
0,7;4,2;33,8;22
0,5;4,7;23,6;17
0,6;4,2;37,7;16
0,6;4,2;37,6;6
0,5;3,7;37,2;5
0,6;3,7;37,5;5
6,5;2,5;36,6;18
13,7;2,8;55,8;16
13,9;4,2;36,6;18
13,9;4,3;36,6;20
14,1;4,2;33,5;22
8,6;3,8;27,0;17
0,7;3,4;31,9;20
0,3;2,7;3,0;20
0,3;2,6;0,0;15
0,3;2,5;0,0;16
0,4;2,6;5,9;23
0,8;2,5;36,8;15
0,8;2,4;36,5;16
1,1;4,0;37,5;25
2,5;4,4;67,9;17
0,1;2,3;7,8;9
0,1;1,7;1,9;4
0,1;1,7;1,9;4
0,1;1,7;1,9;4
0,1;1,7;1,9;4
0,8;7,3;44,7;17
0,6;5,2;22,7;20
0,7;3,5;37,3;24
0,6;3,0;38,5;16
0,7;2,9;22,8;19
0,7;3,3;37,3;21
0,9;4,1;22,7;17
0,9;4,3;37,3;21
1,0;4,1;21,6;22
1,5;3,8;37,5;17
0,6;2,6;20,2;19
0,3;2,5;1,0;20
0,3;2,5;0,1;15
0,3;2,5;0,0;16
0,6;2,5;5,7;17
1,0;2,6;37,8;20
1,0;2,8;37,3;15
1,2;4,1;37,3;17
2,4;3,9;112,8;20
0,9;3,2;37,6;21
0,8;2,9;22,7;16
0,7;2,4;37,6;18
0,7;2,1;37,6;20
0,5;2,0;37,7;14
0,5;2,0;22,7;14
0,6;2,1;36,6;15
0,6;2,2;36,6;17
0,5;2,2;36,6;20
0,9;2,3;36,7;12
1,5;2,7;36,7;6
1,1;3,9;36,7;5
0,7;3,9;35,6;5
0,7;3,9;33,7;5
1,2;3,5;9,7;5
0,6;2,3;13,6;3
0,3;2,2;0,0;3
0,3;2,3;0,0;3
0,3;2,3;0,0;3
0,5;2,2;15,5;3
0,7;2,2;37,0;4
0,7;2,3;36,2;16
0,9;3,0;38,0;21
2,3;3,6;45,2;16
0,7;2,6;22,8;16
0,6;2,3;38,3;23
0,6;2,3;37,3;15
0,6;2,3;37,7;16
0,6;2,1;38,1;22
0,5;2,2;36,6;14
0,6;2,0;37,1;14
0,6;1,9;37,1;15
0,5;2,1;36,6;17
0,7;2,6;36,6;18
3,9;2,4;21,4;6
19,3;3,9;36,7;16
19,3;3,9;36,7;24
19,2;3,9;34,6;12
11,3;3,6;24,6;8
0,8;2,2;18,4;3
0,5;2,3;5,6;3
0,5;2,3;0,0;3
0,5;2,3;0,0;3
0,6;2,2;5,6;3
0,9;2,2;36,9;13
1,2;2,8;37,6;15
1,1;3,2;36,6;17
2,6;3,4;22,6;18
0,9;2,3;37,6;20
0,8;2,2;37,7;14
0,7;2,4;22,6;15
0,7;2,2;37,7;15
0,7;2,2;37,6;17
0,7;2,3;37,6;20
0,7;2,0;36,6;5
0,7;2,0;36,1;17
14,0;2,2;33,2;19
15,6;2,4;36,2;12
0,8;2,4;36,1;5
1,2;3,9;36,2;5
6,2;3,8;36,3;5
4,0;3,9;35,2;5
1,6;3,5;17,7;5
0,5;2,2;2,9;3
0,3;2,2;0,0;3
0,3;2,3;0,0;3
0,3;2,2;0,0;3
0,3;2,2;0,0;3
0,6;2,2;5,3;3
0,8;2,3;37,8;3
0,7;3,0;36,5;4
0,8;3,6;38,3;5
0,6;2,2;37,3;3
0,7;2,1;37,3;3
0,7;2,2;22,8;3
0,6;2,3;37,3;3
0,6;2,1;37,2;3
0,5;2,2;37,2;3
0,6;2,3;37,2;3
0,5;2,2;37,2;3
0,6;2,4;36,3;3
0,5;3,1;37,2;4
0,5;2,4;36,2;3
0,7;3,9;36,3;5
0,7;3,9;36,3;5
0,6;3,9;33,2;5
0,4;3,7;8,6;5
0,3;2,4;0,0;3
0,3;2,3;0,0;3
0,3;2,3;0,0;3
0,3;2,3;0,0;3
0,3;2,3;0,0;3
0,4;2,4;0,0;3
0,5;2,3;0,0;3
0,5;3,1;0,0;4
0,4;3,3;0,0;4
0,3;2,5;0,0;3
0,4;2,2;0,0;3
6,9;2,3;2,0;3
18,7;2,3;47,6;3
18,6;2,2;32,3;3
18,6;2,2;4,0;3
19,0;2,1;1,0;3
18,7;2,6;4,8;4
18,8;2,7;21,7;4
18,5;2,6;36,3;4
19,6;2,6;15,2;4
7,6;4,0;3,0;5
0,5;4,0;0,0;14
0,6;3,9;0,0;6
0,6;3,6;0,0;5
0,5;2,8;0,0;11
0,5;3,2;0,0;17
0,6;3,2;5,6;23
0,4;3,2;9,7;15
0,5;3,2;5,3;17
6,4;3,0;37,9;23
14,5;3,2;36,5;15
16,2;4,3;37,3;18
12,3;12,2;55,8;28
14,6;29,0;37,2;51
11,7;26,2;36,5;43
13,0;26,7;33,3;49
8,1;22,5;20,8;42
13,0;27,4;36,2;44
8,4;24,0;36,3;43
10,1;20,2;36,3;40
18,9;24,1;36,3;40
19,2;14,7;36,2;29
19,3;9,4;36,3;22
18,9;7,9;36,3;13
19,5;10,3;36,2;26
19,4;9,9;36,5;28
19,8;7,2;36,2;20
6,8;5,9;33,3;19
0,8;3,1;18,7;16
0,5;3,1;0,0;18
0,7;3,2;5,5;20
0,8;3,2;36,6;16
1,0;3,3;35,7;19
5,4;3,3;36,6;21
13,1;3,5;37,2;16
9,6;4,4;35,9;21
4,6;7,8;67,8;26
15,8;17,0;36,5;32
10,8;17,2;37,3;35
1,9;16,3;37,2;36
1,6;14,0;23,2;28
1,9;16,9;36,7;35
1,6;13,5;36,8;33
0,5;10,9;36,2;25
0,6;11,1;36,2;28
3,4;8,6;36,1;27
7,5;8,1;36,2;19
9,2;8,8;36,6;12
0,8;12,1;36,3;15
0,7;11,4;35,3;14
0,7;8,7;32,3;10
1,3;6,2;11,1;7
0,6;2,7;3,9;4
0,3;2,9;0,0;4
0,3;3,1;0,0;12
0,3;3,3;0,0;17
0,6;3,6;5,5;24
7,0;3,6;37,6;16
13,9;3,5;36,1;18
15,4;4,6;37,6;25
8,4;9,7;67,9;23
8,7;24,1;37,1;49
9,1;24,0;37,2;40
1,1;22,4;36,1;42
1,7;18,6;37,1;39
14,0;24,9;36,0;43
8,2;19,3;36,1;42
0,9;13,5;21,9;28
1,2;13,9;36,1;37
0,6;10,7;36,2;24
6,9;7,0;36,2;27
19,0;8,4;37,3;13
11,1;10,4;36,3;13
0,8;9,5;37,5;28
0,6;8,2;32,5;22
1,3;6,0;6,8;23
0,6;3,2;14,3;21
0,4;3,1;1,0;16
0,8;3,1;5,3;19
0,9;3,1;36,8;21
0,8;3,4;36,3;16
3,5;3,3;37,3;17
12,5;3,3;36,5;18
14,2;4,5;37,3;22
5,5;9,2;67,2;22
1,0;26,5;37,3;43
4,2;25,6;37,6;43
18,5;29,1;37,5;48
18,4;23,6;37,5;45
18,3;27,0;37,3;44
18,4;20,6;36,5;36
18,9;17,7;44,6;36
7,0;17,9;33,3;38
11,5;11,3;36,3;25
13,9;9,8;36,2;23
14,4;10,5;36,2;25
14,5;12,7;36,3;29
14,6;10,6;36,5;29
14,5;8,8;35,3;22
4,4;6,7;21,7;20
0,7;3,4;9,9;17
0,5;3,2;0,0;18
0,7;3,4;5,6;21
0,8;3,2;36,7;15
0,9;3,3;10,6;16
1,4;3,4;36,6;20
11,3;3,6;35,4;21
11,8;4,7;37,5;17
6,4;10,7;21,8;24
11,4;25,7;22,6;46
14,1;24,7;37,5;46
15,0;30,0;36,5;47
13,9;25,9;36,6;44
14,2;31,9;36,8;58
8,1;23,1;37,5;39
0,7;14,1;36,5;30
0,6;12,5;36,5;34
15,2;9,2;20,7;22
16,9;5,8;37,5;21
1,0;6,3;36,5;28
0,8;8,1;35,5;15
0,8;7,0;36,5;9
0,8;5,6;32,3;8
1,3;4,4;12,0;6
0,5;2,6;12,2;4
0,3;2,7;0,0;4
0,3;2,6;0,0;4
0,3;2,5;0,0;3
0,3;2,7;0,0;4
0,7;2,6;5,3;4
0,7;2,5;21,3;3
0,9;3,4;37,3;5
0,7;3,7;37,3;5
0,7;3,3;37,5;4
0,6;3,1;37,5;4
0,7;3,0;37,5;4
0,6;3,4;37,5;4
0,6;3,2;37,5;4
0,5;2,7;37,3;3
0,5;2,7;36,5;3
0,6;2,6;37,2;3
0,5;2,5;35,3;3
0,3;2,5;12,0;3
0,5;2,6;17,6;3
0,7;3,7;36,6;5
0,8;4,4;36,3;17
0,7;4,1;17,7;19
0,4;3,8;4,6;17
0,4;2,6;0,0;4
0,4;2,6;0,0;3
0,4;2,5;0,0;3
0,4;2,7;0,0;3
0,4;2,7;0,0;10
0,6;2,6;0,0;17
0,6;2,7;0,0;9
0,5;3,4;0,0;5
0,4;3,0;0,0;4
0,4;2,8;0,0;7
0,3;2,8;0,0;4
0,3;2,7;0,0;3
0,3;2,9;0,0;4
0,3;2,5;0,0;3
0,3;2,8;0,0;3
0,3;2,8;0,0;6
0,3;3,4;0,0;19
0,4;2,8;0,0;21
0,4;2,7;0,0;16
0,5;3,4;0,0;20
0,7;4,9;0,0;24
1,2;5,3;0,0;20
0,7;5,0;0,0;20
0,6;4,6;0,0;26
0,5;3,4;0,0;16
0,5;3,5;0,0;17
0,8;3,4;4,2;20
0,9;3,5;37,8;22
0,9;3,5;35,5;17
2,2;3,3;37,3;21
15,1;3,5;36,4;22
15,6;4,6;37,1;18
9,7;9,1;124,5;24
17,2;24,9;37,0;50
19,4;23,3;23,1;40
19,5;23,3;37,0;41
19,8;20,1;36,8;44
20,0;28,2;37,1;45
20,2;21,3;23,1;39
19,8;16,3;35,9;39
20,5;18,2;37,0;34
19,6;8,7;35,9;24
19,1;6,0;36,0;26
19,0;7,0;33,5;11
19,3;8,6;36,1;28
19,6;9,6;21,9;23
19,6;7,5;21,9;23
11,4;6,1;21,9;27
0,9;3,4;19,0;16
0,5;3,2;0,0;17
0,7;3,4;5,1;18
0,8;3,3;35,2;19
1,0;3,5;36,0;22
0,9;3,6;37,1;17
6,3;3,5;36,1;17
15,9;4,6;37,1;19
6,9;7,3;56,0;23
14,9;22,2;36,2;44
11,4;19,4;36,1;35
11,8;17,3;36,1;34
12,8;15,9;37,2;39
7,6;17,6;36,1;33
7,7;17,0;36,1;32
0,9;15,7;36,3;34
1,1;17,8;35,0;38
6,8;9,5;22,1;23
13,0;9,3;35,1;22
10,4;7,5;36,1;9
1,4;8,1;36,1;19
1,7;9,0;36,1;24
1,7;8,1;35,1;30
1,9;6,4;20,4;20
0,8;3,2;2,0;18
0,9;3,1;22,5;19
0,9;3,2;33,9;21
0,9;3,2;10,0;18
1,0;3,2;18,8;24
1,0;3,4;37,1;17
6,9;3,4;36,1;26
15,3;4,3;37,0;18
13,7;7,7;113,2;25
14,3;19,8;36,1;41
9,5;19,6;36,1;37
2,1;18,8;37,1;42
1,8;17,9;36,1;34
2,2;20,0;36,1;45
2,1;18,5;22,1;34
1,9;13,7;36,2;33
1,6;12,9;36,0;33
0,5;9,7;36,1;25
7,2;7,0;36,1;25
13,6;6,8;35,2;10
13,7;7,7;36,1;9
12,1;8,9;37,0;22
4,2;8,5;20,9;27
1,7;6,9;11,5;25
0,7;3,3;10,3;17
0,6;3,3;1,0;17
1,0;3,3;25,7;24
1,0;3,3;36,1;16
1,0;3,5;36,0;17
1,0;3,4;36,0;20
7,9;3,5;37,0;22
14,8;4,2;36,0;18
4,8;8,0;80,1;25
1,7;20,7;36,0;42
1,6;20,9;37,0;37
2,0;17,4;36,0;36
1,5;16,6;36,1;33
5,8;18,9;36,0;24
3,0;16,8;36,0;36
1,2;13,8;36,0;29
1,6;14,1;36,1;32
0,7;9,5;31,1;26
6,5;8,2;2,5;12
13,5;7,4;10,8;9
13,6;8,3;36,5;10
13,3;8,7;36,1;10
13,8;8,5;36,1;25
5,5;7,5;32,4;21
0,7;3,8;17,0;21
0,5;3,7;0,0;22
0,7;3,5;5,7;17
0,9;3,6;36,1;20
0,9;3,8;36,1;22
1,1;3,7;37,1;17
7,5;3,9;36,0;21
15,6;4,7;36,1;24
16,4;9,3;56,1;23
13,3;18,9;22,1;35
14,9;19,0;22,1;37
14,4;18,5;35,9;39
14,7;17,2;36,0;32
13,6;18,5;35,5;35
9,8;15,8;35,7;33
0,7;9,7;31,9;28
0,5;9,5;6,2;23
3,1;8,0;26,4;24
12,3;6,5;36,9;9
2,4;7,9;18,0;9
0,7;7,7;13,4;9
3,9;8,8;35,9;10
4,1;9,0;36,7;14
1,7;7,7;9,9;30
0,5;3,0;12,4;16
0,4;2,7;1,0;17
0,4;3,1;0,0;24
0,4;3,2;0,0;17
0,4;3,1;0,0;25
0,6;3,2;5,6;15
0,8;3,3;21,7;22
0,8;3,8;37,1;18
0,8;3,8;36,2;21
0,9;4,0;37,1;23
0,6;3,1;36,1;17
0,6;2,9;36,2;11
0,6;3,2;36,2;5
0,6;2,8;37,1;3
0,5;2,5;35,2;3
0,3;2,5;13,2;3
0,3;2,4;1,0;3
0,3;2,5;0,0;3
0,3;2,5;0,0;3
0,5;2,6;5,9;3
0,6;3,7;36,7;5
0,9;4,2;36,3;5
0,7;4,4;33,2;6
0,5;4,0;7,5;16
0,4;2,6;0,0;17
0,3;2,7;0,0;24
0,4;3,3;0,0;16
0,5;3,3;0,0;17
0,5;3,2;0,0;17
0,6;3,1;0,0;24
0,6;3,3;0,0;16
0,6;3,8;0,0;17
0,5;3,5;0,0;18
0,5;3,7;0,0;19
0,5;2,9;0,0;21
0,3;2,7;0,0;13
0,3;2,4;0,0;5
0,3;2,4;0,0;3
0,3;2,4;0,0;3
0,3;2,5;0,0;3
0,7;2,8;0,0;4
1,1;2,6;0,0;3
0,8;3,0;0,0;4
0,3;2,8;0,0;3
0,4;3,7;0,0;5
